CUI	DEF
C1869029	Altered, most often excessive, concentration of lipids in blood - Result of a genetic predisposition, secondary causes, or of a combination of both- Three forms: o Hypercholesterolemia o Hypertriglyceridemia o Mixed forms - Cholesterol-carrying lipoproteins are differentiated on the basis of their buoyant properties as LDL, VLDL, and HDL and may vary on the amount of cholesterol present in each particle, in the number of circulating particles, or both - Hypercholesterolemia and hypertriglyceridemia per se do not produce specific symptoms, unless associated with the disease of an organ involved in the metabolism of lipid (e.g., pancreatitis) - Some clinical manifestations of atherosclerosis occur after decades of silent onset and progression of lesions - Acute hypercholesterolemia is not known to occur as adverse response to drug - Acute hypertriglyceridaemia may be the expression of excessive (binge-like) consumption of fat-rich foods or alcohol, or it may relate to diabetes - especially when not properly controlled - or pancreatitis.
C1869030	In the CIOMS publication on definitions of terms and criteria for their use, definitions for aplastic anaemia, agranulocytosis, bone marrow depression, granulocytopenia, leucopenia, neutropenia, and pancytopenia are provided. However, it was not possible to strictly follow those definitions. The definitions in the CIOMS publication include signs and symptoms of cytopenic conditions. The respective signs and symptoms, however, are in such a way unspecific (e.g. headache, pallor, malaise, infections etc.) that it did not seem worthwhile to include them in an SMQ, nor in a broad subgroup. Furthermore, the definitions include distinct ranges of lab values which are not reflected in MedDRA.
C1869031	In the CIOMS publication on definitions of terms and criteria for their use, definitions for aplastic anaemia, agranulocytosis, bone marrow depression, granulocytopenia, leucopenia, neutropenia, and pancytopenia are provided. However, it was not possible to strictly follow those definitions. The definitions in the CIOMS publication include signs and symptoms of cytopenic conditions. The respective signs and symptoms, however, are in such a way unspecific (e.g. headache, pallor, malaise, infections etc.) that it did not seem worthwhile to include them in an SMQ, nor in a broad subgroup. Furthermore, the definitions include distinct ranges of lab values which are not reflected in MedDRA.
C1869032	In the CIOMS publication on definitions of terms and criteria for their use, definitions for aplastic anaemia, agranulocytosis, bone marrow depression, granulocytopenia, leucopenia, neutropenia, and pancytopenia are provided. However, it was not possible to strictly follow those definitions. The definitions in the CIOMS publication include signs and symptoms of cytopenic conditions. The respective signs and symptoms, however, are in such a way unspecific (e.g. headache, pallor, malaise, infections etc.) that it did not seem worthwhile to include them in an SMQ, nor in a broad subgroup. Furthermore, the definitions include distinct ranges of lab values which are not reflected in MedDRA.
C1869033	In the CIOMS publication on definitions of terms and criteria for their use, definitions for aplastic anaemia, agranulocytosis, bone marrow depression, granulocytopenia, leucopenia, neutropenia, and pancytopenia are provided. However, it was not possible to strictly follow those definitions. The definitions in the CIOMS publication include signs and symptoms of cytopenic conditions. The respective signs and symptoms, however, are in such a way unspecific (e.g. headache, pallor, malaise, infections etc.) that it did not seem worthwhile to include them in an SMQ, nor in a broad subgroup. Furthermore, the definitions include distinct ranges of lab values which are not reflected in MedDRA.
C1869034	In the CIOMS publication on definitions of terms and criteria for their use, definitions for aplastic anaemia, agranulocytosis, bone marrow depression, granulocytopenia, leucopenia, neutropenia, and pancytopenia are provided. However, it was not possible to strictly follow those definitions. The definitions in the CIOMS publication include signs and symptoms of cytopenic conditions. The respective signs and symptoms, however, are in such a way unspecific (e.g. headache, pallor, malaise, infections etc.) that it did not seem worthwhile to include them in an SMQ, nor in a broad subgroup. Furthermore, the definitions include distinct ranges of lab values which are not reflected in MedDRA.
C1869035	Efficacy is defined as: o Ability of an intervention to produce desired beneficial effect in expert hands and under ideal circumstances o In pharmacology, the ability of a drug, biologic, or device to produce desired therapeutic effect independent of potency (amount of the product needed for desired effect) - Effect is defined as the result produced by an action - Lack of efficacy/effect is therefore evidence of less than the expected effect of a product - There might be subpopulations that have a higher risk for lack of efficacy/effect; in order to identify such cases, one needs to consider types of events that may be reported in such situations for the specific product and indication.
C1869036	Lactic acidosis is a form of high anion gap metabolic acidosis - Intrinsic cardiac contractility may be depressed, but inotropic function can be normal because of catecholamine release- Peripheral arterial vasodilatation and central vasoconstriction can be present - Central nervous system function is depressed, with headache, lethargy, stupor, and, in some cases, even coma - Glucose intolerance may occur - Characterized by an increase in plasma L-lactate - Acidosis is seldom significant unless blood lactate exceeds 5 mmol/l - Clinical presentation in type B lactic acidosis: o Symptoms: hyperventilation or dyspnea, stupor or coma, vomiting, drowsiness, and abdominal pain o Onset of symptoms and signs is usually rapid accompanied by deterioration in the level of consciousness.
C1869037	Impairment of the peripheral motor, sensory and autonomic nervous system - Diagnosis is on clinical grounds, supplemented by electrophysiological investigation - At least one of the following must be present: o Muscular weakness with diminished tone, or flaccid paralysis (diminished tendon reflexes and wasting) o Sensory disturbances, including pain o Impairment of autonomic function
C1869038	Anaphylaxis is an acute systemic reaction characterized by pruritus, generalized flush, urticaria, respiratory distress and vascular collapse. It occurs in a previously sensitized person upon re-exposure to the sensitizing antigen. Other signs and symptoms include agitation, palpitation, parasthesias, wheezing, angioedema, coughing, sneezing and difficulty breathing due to laryngeal spasm or bronchospasm. Less frequent clinical presentations may include seizures, vomiting, abdominal cramps and incontinence.1
C1869039	Depression is a morbid mental state dominated by a lowering of mood. It often includes a variety of associated symptoms, particularly anxiety, agitation, feelings of unworthiness, suicidal ideas, alteration of appetite and sexual function, psychomotor retardation, sleep disturbance, and various somatic signs and symptoms. Thoughts of death, suicidal ideation, and suicide attempts are frequent complications of depression
C1869040	This SMQ is a sub-SMQ of Depression and suicide/self-injury (SMQ). For detailed description, please refer to the one in Depression and suicide/self-injury (SMQ).
C1869041	Haemorrhage is defined as the escape of blood from the vessels; bleeding. Small haemorrhages are classified according to size as petechiae (very small), purpura (up to 1cm), and ecchymoses (larger). A large accumulation of blood within a tissue is called a hematoma.
C1869042	This SMQ is a sub-SMQ of Haemorrhages (SMQ). For detailed description, please refer to the one in Haemorrhages (SMQ).
C1869043	Diagnosis based on elevated levels of fasting plasma glucose or random plasma glucose plus symptoms. Hyperglycemia in diabetes mellitus (DM) occurs as a result of reduced insulin secretion, decreased glucose usage, or increased glucose production. Type I DM: About 10% of all cases; Insulin deficiency resulting from autoimmune beta cell destruction (type IA) or idiopathic (type IB). Type II DM: About 90% of all cases; Heterogeneous disorder of glucose metabolism characterized by variable degrees of insulin resistance, impaired insulin secretion, and increased hepatic glucose production. Drugs have been associated with hyperglycemia that can progress to new onset DM: Can mimic type I or II; Mechanisms: Diminished insulin production, inhibited insulin secretion, and reduced beta cell volume (e.g., cyclosporine); Autoimmune destruction of beta cells and increased insulin antibody titers (e.g., interleukin-2); Hormone stimulated gluconeogenesis and decreased insulin sensitivity (e.g., glucocorticosteroids); Decreased insulin sensitivity (e.g. protease inhibitors); Often reversible by discontinuation of drug, or can be controlled with oral antidiabetic agents and/or insulin. Common findings/symptoms: polydipsia, polyphagia, polyuria, weight loss, hypercholesterolemia, and hypertriglyceridemia. Acute complications: Diabetic ketoacidosis (DKA) particularly type I; Nonketotic hyperosmolar state (NKHS) particularly type II diabetes; Both can result in neurologic symptoms including coma. Long term complications are microvascular (e.g., retinopathy), macrovascular (e.g., coronary artery disease), neuropathic (e.g., paresthesias).
C1869044	Interstitial lung diseases (ILDs) are a heterogeneous group of conditions that involve the alveolar walls and perialveolar tissue. The ILDs are nonmalignant and are not caused by any defined infectious agents. Approximately 180 known individual diseases are characterized by interstitial lung involvement, either as primary disease or as a significant part of a multiorgan process, as occurs in collagen vascular diseases. The initial response is inflammation in the air spaces and alveolar walls. If the disease is chronic, inflammation spreads to adjacent portions of the interstitium and vasculature and eventually produces interstitial fibrosis. Scarring and distortion of lung tissue leads to significant derangement of gas exchange and ventilatory function. One approach to classification is to separate ILDs into two groups based on 1) known causes or 2) unknown causes. Each group can be further subdivided based on the presence or absence of granulomas.
C1869045	Myocardial ischemia refers to lack of oxygen due to inadequate perfusion of the myocardium; causes an imbalance between oxygen supply and demand - Most common cause of myocardial ischemia is obstructive atherosclerotic disease of epicardial coronary arteries
C1869046	Neuroleptic malignant syndrome (NMS) is a rare but potentially fatal disorder characterized by hyperthermia, muscle rigidity, altered consciousness, and autonomic dysfunction as a complication of treatment with neuroleptic drugs. Symptoms similar to NMS have been reported in non-schizophrenic patients treated with dopamine-depleting drugs (such as reserpine), following withdrawal of indirect dopamine receptor agonists in patients with Parkinson's disease, and in association with intoxication from anticholinergic agents, amphetamines, lithium carbonate, cocaine, and phencyclidine.Diagnosis is usually based on the development of severe muscle rigidity and elevated temperature in patients treated with neuroleptic drugs that is accompanied by some combination of autonomic dysfunction (diaphoresis, incontinence, tachycardia, elevated or labile blood pressure), dysphagia, tremor, myoclonus, changes in consciousness ranging from confusion to coma, mutism, leucocytosis, and laboratory evidence of muscle injury such as elevated creatine phosphokinase (CPK) There does not appear to be any major differences in the clinical presentation reported with the traditional neuroleptics and the newer atypical antipsychotic agents.
C1869047	Chronic inflammatory autoimmune disorder affecting many body systems with variable severity characterized by various autoantibodies o Antibodies to double-stranded DNA and Sm polypeptides o Antiphospholipid antibodies (including lupus anticoagulant, anticardiolipin antibodies, and those that cause false-positive tests for syphilis) o Complement activation leads to immune complex formation - Drugs may trigger systemic lupus erythematosus (SLE) symptoms de novo or exacerbate existing symptoms - Clinical presentations vary in severity and onset o Systemic symptoms: anorexia, weight loss, malaise, myalgia, arthralgias and fever o Cutaneous manifestations (e.g., macular butterfly erythema, discoid lesions, maculopapular lesions, erythema on sides of the palms, red or purple macular lesions on volar finger surfaces, alopecia, periungual erythema, mucus membrane lesions, purpura and photosensitivity o Polyarthritis o Nephritis - Proteinuria, diffuse membranoproliferative glomerulonephritis, abnormal urinalysis (hematuria, pyruia, urinary casts) or increased serum creatinine; hypertension and nephrotic syndrome can occur o Central nervous system manifestations - Headaches, epilepsy, psychoses, organic brain syndrome, personality changes, stroke and transient ischemic attacks d o Other manifestations/complications - Pericarditis, myocarditis, fibrinous (Libman-Sachs) endocarditis, and valve insufficiencies - Pleurisy with or without effusion - Anemia, leukopenia and thrombocytopenia due to hemolysis - Abdominal pain, nausea, vomiting and diarrhea - Sicca syndrome, nonspecific conjunctivitis, retinal vasculitis and optic neuritis
C1869048	Causes of disorders of smell and taste include psychiatric disorders, nasal and sinus disease, poor dental hygiene, and intracranial disorders - Often occur concurrently in a patient - Medicinal products associated with disturbances of taste and smell o Chemotherapy products o Antihypertensive products o Hyperlipidemic products - Key terms and definitions: o Ageusia = absence of the sense of taste o Dysgeusia = perversion of the sense of taste; a bad taste in the mouth o Hypogeusia = a parageusia involving diminished sensitivity of taste o Anosmia = absence of the sense of smell o Hyposmia = a parosmia involving diminished sensitivity of smell o Parosmia = any disease or perversion of olfaction
C1869049	This SMQ is a sub-SMQ of Ischaemic heart disease (SMQ). For detailed description, please refer to the one in Ischaemic heart disease (SMQ).
C1869050	Anticholinergic syndrome is a confusional state with characteristic features related to dysfunction of the autonomic parasympathetic (cholinergic) nervous system. Symptoms classified into systemic and CNS manifestations: Systemic (peripheral) symptoms: blurred vision, photophobia, nonreactive mydriasis, loss of accommodation response, flushed and dry skin, dry mouth, tachycardia, hypertension and fever. Gastrointestinal and urinary motility are frequently reduced. Central Anticholinergic Syndrome is an acute psychosis-like picture characterized by delirium, agitation, disorientation, and visual hallucinations. Ataxia, choreoathetosis, myoclonus and seizures may also occur without peripheral symptoms.
C1869051	Arrhythmia is any disorder of the formation or conduction of the cardiac impulse. Arrhythmia may be primary, due to electrophysiological disorder, or secondary, caused by hemodynamic or other abnormalities. Arrhythmias are divided into two main groups: bradyarrhythmias and tachyarrhythmias.
C1869053	This SMQ is a sub-SMQ of Cardiac arrhythmias (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869054	This SMQ is a sub-SMQ of Bradyarrhythmias (incl conduction defects and disorders of sinus node function) (SMQ), which is itself a sub-SMQ of Cardiac arrhythmia terms (incl bradyarrhythmias and tachyarrhythmias) (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869055	This SMQ is a sub-SMQ of Bradyarrhythmias (incl conduction defects and disorders of sinus node function) (SMQ), which is itself a sub-SMQ of Cardiac arrhythmia terms (incl bradyarrhythmias and tachyarrhythmias) (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869056	This SMQ is a sub-SMQ of Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) (SMQ), which is itself a sub-SMQ of Cardiac arrhythmia terms (incl bradyarrhythmias and tachyarrhythmias) (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869057	This SMQ is a sub-SMQ of Tachyarrhythmias (incl supraventricular and ventricular tachyarrhythmias) (SMQ), which is itself a sub-SMQ of Cardiac arrhythmia terms (incl bradyarrhythmias and tachyarrhythmias) (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869058	Concerns central nervous system hemorrhages and cerebrovascular accidents o Divided into the two main groups of ischemic and hemorrhagic cerebrovascular disorders o Additional small group contains terms not covered by these main groups - Included: o Terms for conditions related to cerebrovascular disorders irrespective of cause and irrespective of acuteness or chronicity o Congenital cerebrovascular disorder terms o Cerebrovascular disorder terms related to infections - Excluded: o Cerebrovascular disorder terms related to accidents and injuries
C1869060	This SMQ is a sub-SMQ of Central nervous system vascular disorders (SMQ). For a detailed description, please refer to the one in Central nervous system vascular disorders (SMQ).
C1869061	This SMQ is a sub-SMQ of Central nervous system vascular disorders (SMQ). For a detailed description, please refer to the one in Central nervous system vascular disorders (SMQ).
C1869062	Retroperitoneal fibrosis (RPF; also known as Ormonds' disease) is a rare disorder that is idiopathic in most cases (68%). - Evidence suggests autoimmunity. o Response to ceroid leaking from arteries thinned by atheromatous plaque - Many diverse causes for the 32% non-idiopathic cases o Drugs: Methysergide, ergotamine, some beta-adrenergic blocking agents, hydralazine, and methyldopa o Other associations (immune-mediated): E.g., primary biliary cirrhosis, systemic lupus erythematosus o Malignant form (poor prognosis): Occurs in response to metastatic tumor cells in the retroperitoneum o Other implicated causes: Abdominal aortic aneurysm, ureteric injury, infection, retroperitoneal malignancy, radiation therapy, and chemotherapy - Characterized by extensive deposition of fibrous tissue in retroperitoneal space compressing ureters bile ducts, blood vessels, and other structures - Symptoms generally vague; clinical picture nonspecific o Radiologic and other imaging modalities needed to confirm diagnosis - Insidious symptomatology: o Flank pain, back pain, lower abdomen pain, malaise, anorexia, weight loss, pyrexia, nausea, vomiting, lower extremity edema and/or thrombophlebitis, and symptoms of arterial compromise of abdomen or lower extremities (e.g., intermittent claudication)
C1869063	A condition of profound and generally acute hemodynamic and metabolic disturbance characterized by failure of the circulatory system to maintain adequate perfusion of vital organs - Clinical indicators: o Reduced mean arterial pressure, tachycardia, tachypnea, cool skin and extremities, acutely altered mental status, oliguria, hypotension (usually, but not always, present), narrow differential pressure (difference between systolic and diastolic blood pressure), low cardiac output leading to a delayed capillary refill o End result is tissue hypoxia, often manifested by lactic acidosis - Clinical manifestations of hypovolemic or cardiogenic shock: o Hypotension, hyperventilation, cold, clammy, cyanotic skin, a weak and rapid pulse, oliguria, mental confusion, and combativeness or anxiety - Clinical manifestations of septic shock: o Chills and fever, warm flushed skin, a lower degree of hypotension, and an increase in cardiac output o If unresponsive to therapy, septic shock progresses to the clinical pattern described for hypovolemic and cardiogenic shock.
C1869064	A condition of profound and generally acute hemodynamic and metabolic disturbance characterized by failure of the circulatory system to maintain adequate perfusion of vital organs - Clinical indicators: o Reduced mean arterial pressure, tachycardia, tachypnea, cool skin and extremities, acutely altered mental status, oliguria, hypotension (usually, but not always, present), narrow differential pressure (difference between systolic and diastolic blood pressure), low cardiac output leading to a delayed capillary refill o End result is tissue hypoxia, often manifested by lactic acidosis - Clinical manifestations of hypovolemic or cardiogenic shock: o Hypotension, hyperventilation, cold, clammy, cyanotic skin, a weak and rapid pulse, oliguria, mental confusion, and combativeness or anxiety - Clinical manifestations of septic shock: o Chills and fever, warm flushed skin, a lower degree of hypotension, and an increase in cardiac output o If unresponsive to therapy, septic shock progresses to the clinical pattern described for hypovolemic and cardiogenic shock - Cardiogenic shock: o Caused by failure, often sudden, of heart as an effective pump (e.g., acute myocardial infarction, severe cardiomyopathy, etc. o Acute aggravation of chronic conditions of cardiac impairment can represent a challenge in evaluation of pharmacological causality.
C1869065	A condition of profound and generally acute hemodynamic and metabolic disturbance characterized by failure of the circulatory system to maintain adequate perfusion of vital organs - Clinical indicators: o Reduced mean arterial pressure, tachycardia, tachypnea, cool skin and extremities, acutely altered mental status, oliguria, hypotension (usually, but not always, present), narrow differential pressure (difference between systolic and diastolic blood pressure), low cardiac output leading to a delayed capillary refill o End result is tissue hypoxia, often manifested by lactic acidosis - Clinical manifestations of hypovolemic or cardiogenic shock: o Hypotension, hyperventilation, cold, clammy, cyanotic skin, a weak and rapid pulse, oliguria, mental confusion, and combativeness or anxiety - Clinical manifestations of septic shock: o Chills and fever, warm flushed skin, a lower degree of hypotension, and an increase in cardiac output o If unresponsive to therapy, septic shock progresses to the clinical pattern described for hypovolemic and cardiogenic shock.
C1869066	A condition of profound and generally acute hemodynamic and metabolic disturbance characterized by failure of the circulatory system to maintain adequate perfusion of vital organs - Clinical indicators: o Reduced mean arterial pressure, tachycardia, tachypnea, cool skin and extremities, acutely altered mental status, oliguria, hypotension (usually, but not always, present), narrow differential pressure (difference between systolic and diastolic blood pressure), low cardiac output leading to a delayed capillary refill o End result is tissue hypoxia, often manifested by lactic acidosis - Clinical manifestations of hypovolemic or cardiogenic shock: o Hypotension, hyperventilation, cold, clammy, cyanotic skin, a weak and rapid pulse, oliguria, mental confusion, and combativeness or anxiety - Clinical manifestations of septic shock: o Chills and fever, warm flushed skin, a lower degree of hypotension, and an increase in cardiac output o If unresponsive to therapy, septic shock progresses to the clinical pattern described for hypovolemic and cardiogenic shock.
C1869067	A condition of profound and generally acute hemodynamic and metabolic disturbance characterized by failure of the circulatory system to maintain adequate perfusion of vital organs - Clinical indicators: o Reduced mean arterial pressure, tachycardia, tachypnea, cool skin and extremities, acutely altered mental status, oliguria, hypotension (usually, but not always, present), narrow differential pressure (difference between systolic and diastolic blood pressure), low cardiac output leading to a delayed capillary refill o End result is tissue hypoxia, often manifested by lactic acidosis - Clinical manifestations of hypovolemic or cardiogenic shock: o Hypotension, hyperventilation, cold, clammy, cyanotic skin, a weak and rapid pulse, oliguria, mental confusion, and combativeness or anxiety - Clinical manifestations of septic shock: o Chills and fever, warm flushed skin, a lower degree of hypotension, and an increase in cardiac output o If unresponsive to therapy, septic shock progresses to the clinical pattern described for hypovolemic and cardiogenic shock - Septic o Caused by the systemic reaction to severe infection with participation of biologically active soluble mediators
C1869068	A condition of profound and generally acute hemodynamic and metabolic disturbance characterized by failure of the circulatory system to maintain adequate perfusion of vital organs - Clinical indicators: o Reduced mean arterial pressure, tachycardia, tachypnea, cool skin and extremities, acutely altered mental status, oliguria, hypotension (usually, but not always, present), narrow differential pressure (difference between systolic and diastolic blood pressure), low cardiac output leading to a delayed capillary refill o End result is tissue hypoxia, often manifested by lactic acidosis - Clinical manifestations of hypovolemic or cardiogenic shock: o Hypotension, hyperventilation, cold, clammy, cyanotic skin, a weak and rapid pulse, oliguria, mental confusion, and combativeness or anxiety - Clinical manifestations of septic shock: o Chills and fever, warm flushed skin, a lower degree of hypotension, and an increase in cardiac output o If unresponsive to therapy, septic shock progresses to the clinical pattern described for hypovolemic and cardiogenic shock - Anaphylactic o Manifestation of immune-mediated acute hypersensitivity o Exposure of a sensitized individual to a specific antigen, including drugs (e.g., penicillin) results in angioedema, followed by vascular collapse often accompanied by life-threatening respiratory distress o Anaphylactoid shock defines a pseudoanaphylactic reaction mimicking the same clinical picture described above.
C1869069	A condition of profound and generally acute hemodynamic and metabolic disturbance characterized by failure of the circulatory system to maintain adequate perfusion of vital organs - Clinical indicators: o Reduced mean arterial pressure, tachycardia, tachypnea, cool skin and extremities, acutely altered mental status, oliguria, hypotension (usually, but not always, present), narrow differential pressure (difference between systolic and diastolic blood pressure), low cardiac output leading to a delayed capillary refill o End result is tissue hypoxia, often manifested by lactic acidosis - Clinical manifestations of hypovolemic or cardiogenic shock: o Hypotension, hyperventilation, cold, clammy, cyanotic skin, a weak and rapid pulse, oliguria, mental confusion, and combativeness or anxiety - Clinical manifestations of septic shock: o Chills and fever, warm flushed skin, a lower degree of hypotension, and an increase in cardiac output o If unresponsive to therapy, septic shock progresses to the clinical pattern described for hypovolemic and cardiogenic shock.
