CUI	SAB	DEF
C0001175	NCI_NCI-GLOSS	A disease caused by human immunodeficiency virus (HIV). People with acquired immunodeficiency syndrome are at an increased risk for developing certain cancers and for infections that usually occur only in individuals with a weak immune system.
C0001175	NCI	A syndrome resulting from the acquired deficiency of cellular immunity caused by the human immunodeficiency virus (HIV). It is characterized by the reduction of the Helper T-lymphocytes in the peripheral blood and the lymph nodes. Symptoms include generalized lymphadenopathy, fever, weight loss, and chronic diarrhea. Patients with AIDS are especially susceptible to opportunistic infections (usually pneumocystis carinii pneumonia, cytomegalovirus (CMV) infections, tuberculosis, candida infections, and cryptococcosis), and the development of malignant neoplasms (usually non-Hodgkin lymphoma and Kaposi sarcoma). The human immunodeficiency virus is transmitted through sexual contact, sharing of contaminated needles, or transfusion of contaminated blood.
C0001175	NCI_NICHD	A chronic, potentially life threatening condition that is caused by human immunodeficiency virus (HIV) infection, and is characterized by increased susceptibility to opportunistic infections, certain cancers and neurologic disorders.
C0001175	MSHPOR	Defeito adquirido da imunidade celular associado com a infecção pelo vírus da imunodeficiência adquirida humana (HIV), uma contagem de linfócitos T CD4-positivo abaixo de 200 células/microlitro ou menos do que 14 por cento do total de linfócitos, além de um aumento na susceptibilidade a infecções oportunísticas e neoplasias malignas. As manifestações clínicas incluem também emaciação e demência. Esses elementos refletem os critérios para AIDS de acordo com o CDC em 1993.
C0001175	MSHFRE	Immunodéficience cellulaire acquise, associée à l'infection par le virus de l'immunodéficience humaine (VIH). Selon les critères du CDC définis en 1993, le sida correspond à un nombre de lymphocytes T CD4 inférieur à 200 cellules/microlitre ou inférieur à 14% des lymphocytes totaux, à une augmentation de la susceptibilité aux infections opportunistes et à l'apparition de néoplasies. Les manifestations cliniques incluent des pertes de poids (diarrhée) et une démence.
C0001198	MSH	A condition seen primarily in childhood, most often resulting from chronic exposure to MERCURY COMPOUNDS which may result in encephalopathy and POLYNEUROPATHY. Clinical features include pain, swelling and pinkish discoloration of the fingers and toes, weakness in the extremities, extreme irritability, HYPERESTHESIA, and alterations in level of consciousness. (From Menkes, Textbook of Child Neurology, 5th ed, p603)
C0001198	MSHCZE	Dnes vzácné dětské onemocnění charakteru encefalopatie způsobené chronickou intoxikací malými dávkami rtuti. V popředí jsou bolestivá akra rukou a nohou (akrodynie) provázená dermatitidou (erytrodermie, akrocyanóza, výpadek vlasů) a postižením sliznic (gingivitida, uvolňování zubů) a řada dalších příznaků. Onemocnění bývalo častější v době, kdy byla rtuť součástí řady léků a dokonce i zubních past, častější byl i styk se rtutí teploměrů a barometrů. (cit. Velký lékařský slovník online, 2016 http://lekarske.slovniky.cz/)
C0001198	MSHPOR	Afecção observada principalmente na infância (geralmente como resultado da exposição crônica a COMPOSTOS DE MERCÚRIO) que pode resultar em encefalopatia e POLINEUROPATIAS. Entre os sinais clínicos estão: dor, inchaço e descoloração rósea dos dedos (nas mãos e pés), fraqueza das extremidades, irritabilidade extrema, HIPERESTESIA e alterações no nível de consciência. (Tradução livre do original: Menkes, Textbook of Child Neurology, 5th ed, p 603)
C0001622	CSP	abnormally increased secretion of adrenal hormones.
C0001622	MSHCZE	Nadměrná tvorba hormonů kůry nadledvin, jako např. aldosteronu, hydrokortisonu, dehydroepiandrosteronu a/nebo androstendionu. K hyperadrenálním syndromům patří Cushingův syndrom, hypoaldosteronismus a virilismus.
C0001622	CSP	complex of symptoms and signs due to excessive production or administration of hydrocortisone or its semi-synthetic analogs.
C0001622	NCI_NICHD	Abnormally high levels of cortisol in the blood.
C0001622	NCI	Abnormally high level of cortisol in the blood.
C0001622	MSH	Excess production of ADRENAL CORTEX HORMONES such as ALDOSTERONE; HYDROCORTISONE; DEHYDROEPIANDROSTERONE; and/or ANDROSTENEDIONE. Hyperadrenal syndromes include CUSHING SYNDROME; HYPERALDOSTERONISM; and VIRILISM.
C0001622	MSHPOR	Produção excessiva de CORTICOSTEROIDES como ALDOSTERONA, HIDROCORTISONA, DESIDROEPIANDROSTERONA e/ou ANDROSTENODIONA. Entre as síndromes hiperadrenais estão SÍNDROME DE CUSHING, HIPERALDOSTERONISMO e VIRILISMO.
C0001973	MSH	A primary, chronic disease with genetic, psychosocial, and environmental factors influencing its development and manifestations. The disease is often progressive and fatal. It is characterized by impaired control over drinking, preoccupation with the drug alcohol, use of alcohol despite adverse consequences, and distortions in thinking, most notably denial. Each of these symptoms may be continuous or periodic. (Morse & Flavin for the Joint Commission of the National Council on Alcoholism and Drug Dependence and the American Society of Addiction Medicine to Study the Definition and Criteria for the Diagnosis of Alcoholism: in JAMA 1992;268:1012-4)
C0001973	MSHCZE	Stav, při němž je postižený závislý na alkoholu. Závislost výrazně narušuje duševní a tělesné zdraví alkoholika a poškozuje jeho rodinné a společenské vazby. Odnětí alkoholu vede k abstinenčnímu syndromu. U alkoholiků jsou častá nervová poškození, psychické poruchy např. delirium tremens, demence, jaterní cirhóza, žaludeční vředy a krvácení ze zažívacího traktu, tuberkulóza aj. (cit. Velký lékařský slovník online, 2014 http://lekarske.slovniky.cz)
C0001973	CSP	a disorder characterized by a pathological pattern of alcohol use that causes a serious impairment in social or occupational functioning.
C0001973	NCI_NCI-GLOSS	A chronic disease in which a person craves drinks that contain alcohol and is unable to control his or her drinking. A person with this disease also needs to drink greater amounts to get the same effect and has withdrawal symptoms after stopping alcohol use. Alcoholism affects physical and mental health, and can cause problems with family, friends, and work.
C0001973	NCI	Physical and psychological dependence on alcohol.
C0001973	MSHNOR	En primær, kronisk sykdom med genetiske, psykososiale og miljømessige faktorer som påvirker utviklingen og manifestasjonene. Sykdommen er ofte progredierende og dødelig. Den er preget av nedsatt kontroll over drikkingen, opptatthet av alkoholens rusgivende effekt, bruk av alkohol til tross for negative konsekvenser og forvrengt tankegang, særlig fornektelse. Hver av disse symptomene kan være til stede kontinuerlig eller i perioder.
C0001973	HPO	An addictive behavior defined as drinking excessive amounts of alcohol over a long period of time, having difficulty reducing the amount of alcohol consumed, strongly desiring alcohol and experiencing withdrawal symptoms when not drinking alcohol. []
C0001973	MSHPOR	Doença crônica, primária, com fatores genéticos, psicossociais e ambientais influenciando seu desenvolvimento e manifestações. A doença é geralmente progressiva e fatal. É caracterizada pela falta de controle sobre a bebida, pré-ocupação com a droga álcool, uso de álcool apesar das consequências adversas, e distorções no pensamento, negação notável. Cada um destes sintomas pode ser contínuo ou periódico.
C0002962	MSH	The symptom of paroxysmal pain consequent to MYOCARDIAL ISCHEMIA usually of distinctive character, location and radiation. It is thought to be provoked by a transient stressful situation during which the oxygen requirements of the MYOCARDIUM exceed that supplied by the CORONARY CIRCULATION.
C0002962	CSP	recurring thoracic pain or discomfort which occurs when a part of the heart does not receive enough blood; usually caused by exertion or excitement.
C0002962	NCI_CTCAE	A disorder characterized by substernal discomfort due to insufficient myocardial oxygenation.
C0002962	NCI	Paroxysms of chest pain due to reduced oxygen to the heart.
C0002962	NCI_NICHD	Chest pain secondary to decreased blood flow to cardiac muscle.
C0002962	NCI_ACC-AHA	A heart condition marked by paroxysms of chest pain due to reduced oxygen to the heart.
C0002962	NCI_FDA	Chest pain resulting from inadequate oxygen delivery for the needs of the myocardium.
C0002962	MSHCZE	Algická forma ischemické choroby srdeční, projevující se bolestí na hrudi (stenokardií), která někdy vyzařuje do ramen nebo čelistí. U klasické neboli námahové AP je bolest vyvolána fyzickou námahou (rychlá chůze, chůze do schodů, pohlavní styk) či rozrušením; negativní roli hraje chlad. Podstatou AP je nejč. aterosklerotické zúžení koronárních tepen srdce a nedostatek kyslíku v srdci při námaze. (cit. Velký lékařský slovník online, 2016 http://lekarske.slovniky.cz/)
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	CHV	chest pain caused by coronary heart disease
C0002962	MSHNOR	Smerteanfall i forbindelse med iskemisk hjertesykdom - av typisk karakter, lokalisering og smerteutstråling. Krampen fremkalles av stressituasjoner der kransarterienes kapasitet ikke strekker til for hjertemuskelens oksygenbehov.
C0002962	MEDLINEPLUS	<p>Angina is <a href=https://medlineplus.gov/chestpain.html>chest pain</a> or discomfort you feel when there is not enough blood flow to your heart muscle. Your heart muscle needs the oxygen that the blood carries. Angina may feel like pressure or a squeezing pain in your chest. It may feel like indigestion. You may also feel pain in your shoulders, arms, neck, jaw, or back. </p> <p>Angina is a symptom of <a href=https://medlineplus.gov/coronaryarterydisease.html>coronary artery disease</a> (CAD), the most common <a href=https://medlineplus.gov/heartdiseases.html>heart disease</a>. CAD happens when a sticky substance called plaque builds up in the arteries that supply blood to the heart, reducing blood flow.</p> <p>There are three types of angina:</p> <ul> <li>Stable angina is the most common type. It happens when the heart is working harder than usual. Stable angina has a regular pattern. Rest and medicines usually help.</li> <li>Unstable angina is the most dangerous. It does not follow a pattern and can happen without physical exertion. It does not go away with rest or medicine. It is a sign that you could have a heart attack soon.</li> <li>Variant angina is rare. It happens when you are resting. Medicines can help.</li> </ul> <p>Not all chest pain or discomfort is angina. If you have chest pain, you should see your health care provider.</p> <p class=>NIH: National Heart, Lung, and Blood Institute</p>
C0002962	HPO	Paroxysmal chest pain that occurs with exertion or stress and is related to myocardial ischemia. [HPO:probinson]
C0002962	MSHPOR	Sintoma de dor paroxística consequente à ISQUEMIA MIOCÁRDICA, normalmente de caráter, localização e radiação característicos. Acredita-se que seja provocada por uma situação estressante transitória, durante a qual as necessidades de oxigênio do MIOCÁRDIO excedem a capacidade da CIRCULAÇÃO CORONÁRIA em nutrí-lo.
C0002994	MSH	Swelling involving the deep DERMIS, subcutaneous, or submucosal tissues, representing localized EDEMA. Angioedema often occurs in the face, lips, tongue, and larynx.
C0002994	MSHPOR	Inchaço envolvendo a DERME profunda, tecidos subcutâneo, ou submucoso, representando um EDEMA localizado. O angioedema frequentemente ocorre na face, lábios, língua e laringe.
C0002994	MSHCZE	Jde o dobře ohraničený, lokalizovaný otok hlubších vrstev kůže a podkoží, popř. sliznice střev či dýchacího traktu, obv. na alergickém podkladě. Může se vyskytovat spolu s kopřivkou nebo bez ní. Na rozdíl od kopřivky kůže nečervená a nesvědí. (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz/)
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	CHV	Recurring attacks of transient edema suddenly appearing in areas of the skin or mucous membranes
C0002994	MSHNOR	Hevelse som omfatter den dype delen av lærhuden, samt subkutant eller submukøst vev, og som representerer lokalt ødem. Angioødem opptrer hyppigst i ansiktet, lepper, tunge og strupe.
C0002994	NCI_NICHD	Rapid swelling of the deep layers of the skin due to transient vascular leakage of serous fluid.
C0002994	NCI	Rapid swelling of the deep layers of the skin due to transient vascular leakage of serous fluid.
C0002994	NCI_FDA	Rapid swelling of the deep layers of the skin due to transient vascular leakage of serous fluid.
C0002994	HPO	Rapid swelling (edema) of the dermis, subcutaneous tissue, mucosa and submucosal tissues of the skin of the face, normally around the mouth, and the mucosa of the mouth and/or throat, as well as the tongue during a period of minutes to several hours. The swelling can also occur elsewhere, typically in the hands. Angioedema is similar to urticaria, but the swelling is subcutaneous rather than on the epidermis. [HPO:sdoelken]
C0003431	MSH	A personality disorder whose essential feature is a pervasive pattern of disregard for, and violation of, the rights of others that begins in childhood or early adolescence and continues into adulthood. The individual must be at least age 18 and must have a history of some symptoms of CONDUCT DISORDER before age 15. (From DSM-IV, 1994)
C0003431	CSP	personality disorder whose essential feature is a pervasive pattern of disregard for, and violation of, the rights of others through aggressive, antisocial behavior, without remorse or loyalty to anyone.
C0003431	MSHCZE	Porucha osobnosti vyznačující se nedostatkem citu, chladem a lhostejností vůči společenským normám, které vyúsťují v často bezohledné asociální chování. S touto poruchou je spojená malá ovlivnitelnost trestem, nízká schopnost poučit se ze zkušenosti, sklon k agresi, nízká tolerance k zátěži, chybění lítosti, impulzivita aj. V etiopatogenezi se uplatňují genetické i psychosociální faktory. Poruchy chování jsou patrné již od dětství, zejm. od puberty. Tato porucha se výrazně častěji vyskytuje u trestaných osob, s věkem má tendenci se mírnit. Léčba je považována za svízelnou, uplatňují se psychoterapeutické metody, důležitá je prevence u problémových jedinců již v období dospívání. (cit. Velký lékařský slovník online, 2014 http://lekarske.slovniky.cz)
C0003431	NCI	A disorder characterized by a pervasive pattern of disregard for and violation of the rights of others that is manifested in childhood or early adolescence. (adapted from DSM-IV)
C0003431	MSHPOR	Transtorno de personalidade cuja característica principal é um padrão global de desrespeito e violação dos direitos dos outros, que tem início na infância ou no começo da adolescência e persiste até a vida adulta. O indivíduo deve ter ao menos 18 anos e deve ter uma história de alguns sintomas de TRANSTORNO DA CONDUTA anteriores à idade de 15 anos.
C0003431	PSY	Personality disorder characterized by conflict with others, low frustration tolerance, inadequate conscience development, and rejection of authority and discipline.
C0003862	MSH	Pain in the joint.
C0003862	NCI_FDA	Pain in a joint.
C0003862	NCI_CTCAE	A disorder characterized by a sensation of marked discomfort in a joint.
C0003862	NCI	Pain in a joint.
C0003862	NCI_NCI-GLOSS	Joint pain.
C0003862	NCI_NICHD	Pain in a joint.
C0003862	NCI_ACC-AHA	Pain in a joint.
C0003862	MSHCZE	Bolesti kloubů. Kromě vlastních kloubních nemocí mohou provázet řadu chorob, např. chřipku. (cit. Velký lékařský slovník online, 2015 http://lekarske.slovniky.cz)
C0003862	ICF	Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in one or more joints, including small and big joints.
C0003862	ICF-CY	Sensation of unpleasant feeling indicating potential or actual damage to some body structure felt in one or more joints, including small and big joints.
C0003862	HPO	Joint pain. [HPO:probinson]
C0003862	PDQ	Pain in a joint. Check for https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C50464 active clinical trials using this agent. (http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C50464 NCI Thesaurus)
C0003862	MSHPOR	Dor na articulação.
C0003869	MSH	Arthritis caused by BACTERIA; RICKETTSIA; MYCOPLASMA; VIRUSES; FUNGI; or PARASITES.
C0003869	MSHCZE	Artritida vyvolaná bakteriemi, riketsiemi, mykoplazmaty, viry, plísněmi nebo parazity.
C0003869	MEDLINEPLUS	<p>Most kinds of <a href=https://medlineplus.gov/arthritis.html>arthritis</a> cause pain and swelling in your joints. Joints are places where two bones meet, such as your elbow or knee. Infectious arthritis is an infection in the joint. The infection comes from a bacterial, viral, or fungal infection that spreads from another part of the body. Symptoms of infectious arthritis include</p> <ul> <li>Intense pain in the joint</li> <li>Joint redness and swelling</li> <li>Chills and fever</li> <li>Inability to move the area with the infected joint</li> </ul> <p>One type of infectious arthritis is reactive arthritis. The reaction is to an infection somewhere else in your body. The joint is usually the knee, ankle, or toe. Sometimes, reactive arthritis is set off by an infection in the bladder, or in the urethra, which carries urine out of the body. In women, an infection in the vagina can cause the reaction. For both men and women, it can start with bacteria passed on during sex. Another form of reactive arthritis starts with eating food or handling something that has bacteria on it.</p> <p>To diagnose infectious arthritis, your health care provider may do tests of your blood, urine, and joint fluid. Treatment includes medicines and sometimes surgery.</p>
C0003869	NCI	The inflammation of one or more joints caused by any infectious pathogen within the joint space. Symptoms include pain, stiffness, and decreased range of motion in the affected joint.
C0003869	NCI_NICHD	Infection of one or more joints.
C0003869	CSP	arthritis caused by bacteria, rickettsiae, mycoplasmas, viruses, fungi, or parasites; bacterial arthritis is frequently caused by Staphylococcus aureus, Streptococcus pneumoniae, Haemophilus influenzae, Borrelia, and Neisseria gonorrhoeae; viral arthritis is less common than bacterial arthritis and may be a manifestation of such viral diseases as mumps, rubella, hepatitis, etc.
C0003869	MSHPOR	Artrite causada por BACTÉRIA, RICKETTSIA, MYCOPLASMA, VÍRUS, FUNGOS ou PARASITAS.
C0005586	MSH	A major affective disorder marked by severe mood swings (manic or major depressive episodes) and a tendency to remission and recurrence.
C0005586	MEDLINEPLUS	<p>Bipolar disorder is a serious mental illness. People who have it go through unusual mood changes. They go from very happy, up, and active to very sad and hopeless, down, and inactive, and then back again. They often have normal moods in between. The up feeling is called mania. The down feeling is <a href=https://medlineplus.gov/depression.html>depression</a>.</p> <p>The causes of bipolar disorder aren't always clear. It runs in families. Abnormal brain structure and function may also play a role.</p> <p>Bipolar disorder often starts in a person's late teen or early adult years. But children and adults can have bipolar disorder too. The illness usually lasts a lifetime.</p> <p>If you think you may have it, tell your health care provider. A medical checkup can rule out other illnesses that might cause your mood changes.</p> <p>If not treated, bipolar disorder can lead to damaged relationships, poor job or school performance, and even <a href=https://medlineplus.gov/suicide.html>suicide</a>. However, there are effective treatments to control symptoms: medicine and talk therapy. A combination usually works best.</p> <p class=>NIH: National Institute of Mental Health</p>
C0005586	MSHCZE	Druh afektivní poruchy, představuje sklon k maniodepresivitě. Trvalá nestálost nálady, resp. cyklické střídání smutné nálady, mírné deprese a nálady veselé, mírné elace, hypománie. Vzniká nejčastěji v období dospívání. Častější je u žen, odchylky nálady bývají patrny i v rodině. Podle potřeby se léčí psychoterapií či farmaky (lithium), příp. antidepresivy. (cit. Velký lékařský slovník online, 2014 http://lekarske.slovniky.cz)
C0005586	NCI	A disorder of the brain that causes unusual shifts in mood, energy, activity levels and the ability to carry out day-to-day tasks. Often these moods range and shift from periods of elation and energized behavior to those of hopelessness and depression.
C0005586	MSHPOR	Transtorno afetivo importante caracterizado por graves oscilações do humor (episódios de mania ou de depressão significativa) e por uma tendência à remissão e à recorrência.
C0006840	MSH	Infection with a fungus of the genus CANDIDA. It is usually a superficial infection of the moist areas of the body and is generally caused by CANDIDA ALBICANS. (Dorland, 27th ed)
C0006840	CSP	infection with a fungus of the genus Candida; usually a superficial infection of the moist areas of the body and is generally caused by Candida albicans; includes chronic mucocutaneous candidiasis, cutaneous candidiasis, oral candidiasis (thrush), and monilial vaginitis.
C0006840	MSHCZE	Infekce vyvolaná kvasinkou Candida (kandida), druh mykózy. Za určitých okolností (nedostatečná hygiena, snížení odolnosti, cukrovka, léčba širokospektrými antibiotiky) se může pomnožit a způsobit místní onemocnění. Orální k. může mít formu sooru (pseudomembranózní forma), akutní atrofickou či chronickou hyperplastickou formu či formu angulární cheilitidy. Dalšími typy onemocnění jsou intertriginózní k., vulvovaginální k., kandidová balanitida, onychomykóza a paronychie, mukokutánní k. U oslabených jedinců může postihovat i vnitřní orgány (jícen, plíce) - systémová k. Význam k. v současnosti prudce narůstá, zejm. v souvislosti s imunosuprimovanými osobami. K. jsou rovněž závažnými nozokomiálními infekcemi. Léčí se antimykotiky. (cit. Velký lékařský slovník online, 2015 http://lekarske.slovniky.cz)
C0006840	NCI_NCI-GLOSS	A condition in which Candida albicans, a type of yeast, grows out of control in moist skin areas of the body. It is usually a result of a weakened immune system, but can be a side effect of chemotherapy or treatment with antibiotics. Thrush usually affects the mouth (oral thrush); however, rarely, it spreads throughout the entire body.
C0006840	NCI	Infection with the organism Candida.
C0006840	NCI_NICHD	An infection that is caused by one of many species of the genus Candida.
C0006840	MSHPOR	Infecção por um fungo do gênero CANDIDA, especialmente C. albicans. Usualmente é uma infecção superficial das áreas cutâneas úmidas do corpo, embora se torne mais grave em pacientes imunocomprometidos. Mais comumente compromete a pele (candidíase cutânea), mucosas orais (sapinho), esôfago (esofagite), trato respiratório (candidíase pulmonar) e vagina (candidíase vaginal, uma forma de vaginite). Raramente há uma infecção sistêmica ou endocardite. (Dorland, 28a ed)
C0006846	MSH	Candidiasis of the skin manifested as eczema-like lesions of the interdigital spaces, perleche, or chronic paronychia. (Dorland, 27th ed)
C0006846	MSHCZE	Kandidóza kůže typická např. ekzematickými projevy mezi prsty, perléche (zanícené koutky úst) nebo chronickou paronychií (zánět nehtového lůžka).
C0006846	MSHPOR	Candidíase da pele que pode ser manifestada sob a forma de lesões semelhantes a eczema dos espaços interdigitais, perleche ou paroníquia crônica. (Dorland, 28a ed)
C0006849	MSH	Infection of the mucous membranes of the mouth by a fungus of the genus CANDIDA. (Dorland, 27th ed)
C0006849	MSHCZE	Infekce sliznice úst houbou rodu Candida.
C0006849	NCI_NICHD	Infection of the mucosal lining of the mouth with the fungus Candida albicans.
C0006849	NCI	Infection of the mucosal lining of the mouth with the fungus Candida albicans.
C0006849	MSHPOR	Infecção das mucosas orais por um fungo do gênero CANDIDA. (Dorland, 28a ed)
C0009443	MSH	A catarrhal disorder of the upper respiratory tract, which may be viral or a mixed infection. It generally involves a runny nose, nasal congestion, and sneezing.
C0009443	CSP	catarrhal disorder of the upper respiratory tract, which may be viral or a mixed infection; marked by acute coryza, slight rise in temperature, chilly sensations, and general indisposition.
C0009443	MSHCZE	Katarální onemocnění horních cest dýchacích, které může být virového nebo smíšeného původu. Projevuje se rýmou, ucpaným nosem, kýcháním.
C0009443	NCI_CTCAE	A disorder characterized by an infectious process involving the nasal mucosal.
