	synonyms	scores_gpt	scores_biogpt	un_normalized_score	normalized_score	un_normalized_diff_flat	normalized_diff_flat
10	['Bipolar affective disorder', 'Bipolar disorder', 'Manic depression', 'Psychosis manic-depressive', 'Manic depressive illness', 'Manic depressive', 'Reaction manic-depressive', 'Bipolar affective disorder, unspecified']	[-3.1687387379713003, -0.7537200949266407, -2.4144474531950975, -3.9629878173797306, -3.165115872712625, -2.685323995437066, -4.430912275896779, -4.477722953340015]	[-2.840040533628763, -3.0838856783496422, -3.8923938938685145, -3.942175127886919, -3.874288010138187, -4.07594045006126, -5.405063626104992, -3.333446048521477]	[1.1157371524985085, 0.24440597789279855, 0.6202988492501879, 1.0052794938879257, 0.8169542027929236, 0.6588231669078253, 0.8197706044562869, 1.343271463873271]	[0.21165360514115167, 3.0224250598629023, 1.28896602550492, 0.28796430030425985, 0.5975400686707962, 1.1811757967783827, 0.7788360447718351, 0.09363200884376255]	[4, 1, 2, 4, 3, 2, 3, 5]	[1, 5, 4, 2, 2, 4, 3, 1]
11	['Candidiasis', 'Candidiasis of unspecified site', 'Moniliasis', 'Candida infection', 'Moniliasis monilia', 'Monilial infection']	[-4.125135777938976, -5.531517242623642, -6.611440188402002, -2.5035636413339835, -8.260319183396021, -4.706100756454711]	[-7.228537898747471, -6.683839235261964, -6.861212531191374, -6.840739653176743, -6.4970170701904495, -5.5620667436312505]	[0.5706736044994328, 0.8275957945608549, 0.9635964719568305, 0.36597850061014436, 1.271401797802862, 0.8461064876366956]	[1.8684921468989797, 0.26555100138763477, 0.10769005800898174, 6.416710852066218, 0.014384954183971142, 0.19744319296175675]	[1, 3, 4, 1, 5, 3]	[4, 2, 1, 5, 1, 1]
12	['Cutaneous moniliasis', 'Moniliasis skin', 'Candida rash', 'Monilial rash']	[-5.039771574269942, -7.134483798846485, -4.880696025748147, -6.06498906533677]	[-5.298362240162605, -7.080412402434504, -6.578704167522074, -5.288034390289546]	[0.9511942267871953, 1.0076367580500523, 0.741893221136664, 1.1469269330914245]	[0.9255404743077991, 0.6770301462691507, 3.904149884366405, 0.3285971467403312]	[4, 4, 2, 5]	[3, 3, 5, 2]
13	['Oral candidiasis', 'Oral moniliasis', 'Thrush', 'Stomatitis monilial', 'Oral thrush', 'Candida of mouth', 'Oral candida', 'Candida stomatitis', 'Candidiasis of mouth']	[-5.7769807915267855, -7.388593722675648, -3.4952702710879033, -7.418749106135855, -5.7438872248406, -5.040466097112215, -5.064456371655505, -5.111703630171153, -5.691592300453407]	[-4.705663986372634, -6.209608349995401, -5.4706305460925835, -5.499810606082349, -5.23186773227769, -5.6870288865363205, -3.8949081569569937, -6.1134813109766775, -5.299597240710953]	[1.227665385428418, 1.189864691334538, 0.6389154306141934, 1.3489099239038003, 1.0978655269520743, 0.8863092130664568, 1.3002761984539974, 0.8361362978231658, 1.073966952947139]	[0.3173861794328608, 0.28498903235365103, 6.6794861788835895, 0.1359786066319016, 0.5552489527446941, 1.7686978178184132, 0.2876912494449164, 2.523024729061541, 0.6260567422075008]	[5, 5, 2, 5, 4, 3, 5, 3, 4]	[2, 2, 5, 1, 2, 4, 2, 5, 3]
14	['Acute nasopharyngitis (common cold)', 'Cold', 'Common cold', 'Head cold', 'Acute rhinitis', 'Infective rhinitis', 'Acute nasopharyngitis', 'Common cold syndrome']	[-4.322587379257564, 4.39598170487443e-06, -1.8376714481453267, -3.092778624886228, -3.827811061102524, -3.8895925281816157, -3.3697645068314634, -4.367242917144907]	[-4.360804070681578, -6.429325156796098, -4.60948140534522, -7.362050387532865, -4.237866461113122, -4.036683932799549, -3.215945996188629, -4.3964518017636065]	[0.9912363199986556, -6.837392102074151e-07, 0.39867206016154805, 0.4200974541173529, 0.9032401318509473, 0.9635613273006685, 1.0478299420528616, 0.9933562595620898]	[0.08703976915078393, 51.920967842476024, 1.339375040760263, 5.987445875566075, 0.12624239635754736, 0.09705131352853878, 0.07183199063302924, 0.08625925237567887]	[4, 1, 1, 1, 3, 4, 4, 4]	[1, 5, 4, 5, 1, 1, 1, 1]
15	['Insulin-dependent diabetes mellitus', 'Type 1 diabetes mellitus', 'IDDM', 'Diabetes mellitus juvenile onset', 'Insulin dependent diabetic', 'Juvenile diabetes']	[-2.3448613394514055, -1.8827597697847742, -2.1183741743148397, -2.4439846492339345, -3.529937811296115, -4.572306725025376]	[-3.594337236307138, -3.7152634315469415, -7.326790046905066, -4.2776375195231555, -4.28234516226804, -4.2845637147980815]	[0.6523765538095535, 0.506763464953235, 0.2891271840401199, 0.5713398197204832, 0.8243001620697405, 1.0671580654136346]	[0.6625044195184657, 1.1868464110765007, 34.71639054955074, 1.18821112911502, 0.40300891485310103, 0.142423971176776]	[2, 1, 1, 1, 3, 4]	[3, 4, 5, 4, 2, 1]
16	['Gastrointestinal anomaly', 'Gastrointestinal malformation', 'Anomaly congenital gastrointestinal', 'Congenital gastrointestinal malformations', 'GI malformation']	[-4.571804847217594, -3.45313204018793, -5.80328160515963, -5.7104303726489976, -3.674109179752852]	[-6.227905405582459, -5.195877511550699, -5.670855875706859, -5.278546391909741, -6.716917783274469]	[0.7340838611838261, 0.6645907322702359, 1.0233519829026276, 1.0818187335439908, 0.5469933231729597]	[1.2276881926767635, 1.3388054962775247, 0.20527732583937008, 0.15215559104615906, 4.912784690994786]	[2, 2, 4, 4, 1]	[4, 4, 1, 1, 5]
17	['Dysgeusia', 'Taste perversion', 'Taste alteration', 'Parageusia', 'Dysgensia', 'Taste changed', 'Taste disturbance', 'Taste abnormality']	[-4.9957823033761155, -3.2773155414625363, -1.9057181868658564, -5.51489851873402, -4.302084140380385, -3.039774292657303, -1.756367702551011, -2.584187678675008]	[-5.7802847048554655, -4.855021798382784, -3.7239776927312507, -4.653867098257931, -7.763632014447179, -5.007609401943441, -3.462916286226305, -4.28034665695173]	[0.8642796260847905, 0.6750362156055028, 0.5117426429770472, 1.1850141833225958, 0.5541329280386715, 0.6070310299117128, 0.5071932317673793, 0.603733268771121]	[0.41870429140723375, 0.9255320652067087, 1.177232974257343, 0.08077205892812582, 6.088824951754529, 1.367169236074466, 1.052802678282333, 1.0419210994307726]	[3, 2, 1, 5, 1, 2, 1, 2]	[2, 3, 4, 1, 5, 4, 3, 3]
18	"['Toxic epidermal necrolysis', ""Lyell's syndrome"", 'Toxic epideoneal necrolysis', 'TEN', ""Lyell's disease"", 'Necrolysis epidermal toxic (Lyell type)', 'Lyell']"	[-3.34184401316312, -5.157656118986983, -5.064940489428402, -4.39594743329734, -5.639511500094578, -6.13188368739934, -4.032641636507852]	[-3.1151468171650776, -5.755375539020166, -8.776479211597486, -4.707991216518677, -5.496574641293502, -7.016383196756948, -4.63715703995507]	[1.0727725559350512, 0.8961458872699481, 0.577103912322318, 0.9337203981760872, 1.0260047153234764, 0.8739379699548859, 0.8696366333426837]	[0.6838957213071908, 1.559658346809368, 35.102982239677765, 1.172093131820292, 0.743646501082427, 2.077669594071724, 1.5702938575092673]	[4, 3, 1, 4, 4, 3, 3]	[3, 4, 5, 4, 3, 4, 4]
19	['Exanthem', 'Exanthema', 'Rash', 'Rash and other nonspecific skin eruption', 'Skin eruption', 'Skin rash', 'Rash (nonspecific)', 'Efflorescence']	[-2.7993025734766412, -3.817451480428376, -0.8431329334332059, -3.9571354436791983, -1.9603184890399439, -1.9593838808664998, -5.2006648997498, -5.408089955274565]	[-6.275391470383648, -3.847990287192122, -4.53886398249552, -4.772301728619084, -5.198633426154207, -5.6663591706101, -6.8210881007206, -9.910556243029989]	[0.4460761669909821, 0.9920636996238288, 0.1857585811526438, 0.8291880247111361, 0.3770834233430705, 0.34579239011697377, 0.7624391919524373, 0.5456898505649498]	[2.0589361537091038, 0.06565374263311523, 2.5646745034292158, 0.1438861103327466, 1.6232258899947998, 2.593675059881743, 0.32191225300529, 5.746361144337202]	[1, 4, 1, 3, 1, 1, 2, 1]	[4, 1, 5, 1, 4, 5, 2, 5]
20	['Fatigue', 'Tiredness', 'Fatigue extreme', 'Weariness', 'Loss of energy', 'Energy decreased', 'Feeling of total lack of energy', 'Tired out']	[-0.022454157521003583, -2.233221449662701, -3.5012677285031995, -3.831108769772228, -3.8098303861492804, -3.6985922814638736, -3.3269785829100305, -3.933505751553025]	[-6.657232444573349, -5.507524790011623, -9.29933597881426, -4.380558402177114, -5.071196803224126, -7.0320818181936104, -4.9920988316657775, -6.8527448907813895]	[0.003372896726673126, 0.40548550116612153, 0.37650728358237456, 0.8745708692910448, 0.7512684941998496, 0.5259597907258085, 0.6664488615101947, 0.5740044046940297]	[20.241629102208595, 0.7027643734307613, 8.767321062817038, 0.046070275306232, 0.09388632476233491, 0.7456138650887116, 0.1405886950515682, 0.4927280807723649]	[1, 1, 1, 3, 2, 1, 2, 1]	[5, 3, 5, 1, 1, 3, 1, 2]
21	['Fetal growth retardation', 'Intrauterine growth retardation', 'Foetal growth retardation, unspecified {weight}', 'Microsomia', 'Foetal growth retardation, unspecified', 'Fetal growth restriction', 'Intrauterine growth retard']	[-4.4538390477159355, -4.90847612988321, -6.934421752233866, -4.6452686092402615, -6.270356664204607, -5.5555886810020265, -5.5884240933108345]	[-2.9428339932153285, -3.2598381444645654, -5.52260186277273, -5.476471182181075, -3.8185435854442216, -3.2272587839512696, -4.474133732510832]	[1.513452358503474, 1.5057422830081757, 1.2556439744422034, 0.8482229623255726, 1.6420806844018672, 1.721457451329665, 1.249051643830654]	[0.9726745994095337, 0.8476066441365907, 1.0740961122818853, 10.11988140082931, 0.37964688541227837, 0.4295442459635028, 1.4463006358900032]	[5, 5, 5, 3, 5, 5, 5]	[3, 3, 3, 5, 2, 2, 4]
22	['Breast dysplasia', 'Diffuse cystic mastopathy', 'Disease fibrocystic breast', 'Fibrocystic breast', 'Breast fibrocystic change', 'Breast cystic fibrosis', 'Breast fibrocystic disorder']	[-5.844512574371075, -7.05157533264791, -6.069513014636248, -3.914937524527953, -5.02092118332793, -6.165308964261905, -5.160572892625313]	[-7.042571463027741, -7.4695264686034575, -6.7826086345237, -6.705734473781083, -5.745269690360936, -5.750150451566917, -6.0432558041927384]	[0.829883318196164, 0.9440458323948224, 0.8948641063767454, 0.5838193474309286, 0.8739226274706872, 1.0721995913310158, 0.8539391777930316]	[1.028434097602598, 0.47138957633549794, 0.6332272497398121, 5.057010065116586, 0.6403931273081596, 0.20491089568706217, 0.7502576296351472]	[3, 4, 3, 2, 3, 4, 3]	[3, 2, 3, 5, 3, 1, 3]
23	['Gastro intestinal bleed', 'Gastro-intestinal tract bleed', 'Hemorrhage gastrointestinal', 'GI bleed', 'GI hemorrhage', 'Gastrointestinal bleeding', 'GI tract bleed', 'Hemorrhage of digestive tract', 'Haemorrhage of gastrointestinal tract, unspecified']	[-6.310338201577734, -6.298626549271632, -7.517056234360453, -7.006978599101548, -5.147217653470265, -4.912023891098676, -9.448707084370467, -6.219476718839714, -6.5690658079177595]	[-4.588925510054411, -4.819182507340459, -6.434599576662992, -5.05104730531838, -5.09275686969103, -2.682644128294211, -5.586893340005583, -4.253583687722468, -3.780890761136013]	[1.3751232587566915, 1.3069906648436163, 1.1682244007262417, 1.3872328203546453, 1.0106937725818705, 1.8310382056609353, 1.6912273976508427, 1.4621733520352718, 1.7374386680095477]	[1.1635176213970833, 1.4820355262284053, 2.204286519543551, 0.9202860315035848, 6.16198987201003, 0.7001090135138902, 0.13683859258589362, 0.9111638953845574, 0.40039068083493334]	[5, 5, 5, 5, 4, 5, 5, 5, 5]	[4, 4, 5, 3, 5, 3, 1, 3, 2]
24	['Glycosuria', 'Glucosuria', 'Sugar urinary', 'Sugar in urine', 'Sugar urinary present', 'Urine sugar positive', 'Glucose urine present']	[-2.324529887879816, -3.201081942249775, -5.103059828793115, -3.5033964848226176, -5.955706337951612, -4.807987377045787, -5.521121394881339]	[-5.4180648856546725, -5.4295037314171966, -4.980593947788524, -5.471730631775941, -6.734109970223069, -7.816303846628683, -8.20983741297367]	[0.429033231778829, 0.5895717363130416, 1.0245886097699188, 0.6402721041268679, 0.8844088326871097, 0.6151228856231787, 0.6725006985103672]	[2.532791981292639, 1.0663152733048107, 0.1016033639557093, 0.822112027572426, 0.25012133938955894, 2.3258922200892065, 1.6896193459995517]	[1, 2, 4, 2, 3, 2, 2]	[5, 3, 1, 3, 1, 5, 4]
25	['Bleeding', 'Extravasation blood', 'Hemorrhage', 'Hemorrhage term', 'Hem', 'Haemorrhage, unspecified']	[-0.015211039212289038, -5.922404191042655, -5.004854703949304, -6.024080458632352, -1.9081012826807915, -5.435421067014295]	[-2.605173247987472, -5.071908610355731, -3.311160246950175, -6.784796632685854, -4.290293144419531, -2.9789488403354376]	[0.0058387822092214985, 1.167687481385291, 1.511510869508399, 0.8878792961326591, 0.44474846320529327, 1.8246104106985108]	[2.1141743364132646, 0.06775930822678125, 0.029158981099490614, 0.3393980461015653, 1.71754166611578, 0.013598849521166087]	[1, 5, 5, 3, 1, 5]	[4, 1, 1, 2, 4, 1]
26	"[""Hodgkin's disease, unspecified type"", ""Hodgkin's disease"", ""Hodgkin's paragranuloma"", 'Hodgins', ""Hodgkin's lymphoma"", ""Hodgkin's granuloma"", ""Lymphomas Hodgkin's disease"", 'Lymphogranulomatosis']"	[-5.217518585113301, -4.3765907582359285, -4.842451084733869, -2.5579214485335005, -3.9401337693899774, -4.508760772005072, -3.478218890842725, -4.067660217497802]	[-3.8790896446465712, -3.157156629665626, -4.688010053213134, -6.367818130832624, -3.0722940236039773, -4.145525119503348, -4.612224568260795, -4.33936655078596]	[1.345036867687206, 1.3862444191435166, 1.032943835394483, 0.4016951169111106, 1.282472881540151, 1.0876211437708623, 0.7541304286825549, 0.9373857151479988]	[0.22976993448521124, 0.2588045996226766, 0.7507452894639975, 39.55328963004331, 0.3678472307473353, 0.6092762707666965, 2.7230643960859586, 1.1496511151661097]	[5, 5, 4, 1, 5, 4, 2, 4]	[1, 2, 3, 5, 2, 3, 5, 4]
27	['Hyponatremia', 'Sodium blood decreased', 'Sodium depletion', 'Syndrome low salt', 'Low sodium syndrome', 'Na+ depletion', 'Hyponatraemic syndrome']	[-6.2216850275527, -5.505037912398237, -1.345923157113081, -5.7507859936346755, -3.937139938737385, -6.189789872375602, -7.644993287883532]	[-4.579627564883596, -6.214914986623952, -2.636931283560117, -7.157849713148295, -4.940904376185282, -5.234436426799359, -4.707490837097676]	[1.3585569873105698, 0.8857784739206332, 0.5104126776090852, 0.8034236850587997, 0.7968460101583928, 1.1825131432841571, 1.6240059837475804]	[0.0704592078540796, 0.7402355654670444, 1.3235853656015584, 1.4864635367559265, 0.9931242980444518, 0.140013374116704, 0.019290040804651593]	[5, 3, 1, 3, 2, 5, 5]	[1, 3, 4, 4, 3, 1, 1]
28	['Low blood pressure', 'Arterial blood pressure decreased', 'Blood pressure drop arterial', 'Pressure arterial decreased', 'Arterial hypotension', 'Blood pressure decreased', 'Hypotension, unspecified', 'BP fell', 'Drop of blood pressure', 'Fall in blood pressure', 'Hypotension', 'Low BP']	[-0.47007143769279564, -4.345928917317349, -2.9532890167880628, -4.363311827518103, -4.2576953777514435, -2.5870457643064286, -4.623605879764304, -6.167602387813595, -2.0996747161003504, -2.629030767804378, -2.7735915641864533, -2.9355080673197564]	[-3.6117412498570665, -5.168284147268217, -5.1361358272891895, -8.807253766844472, -4.926637388098661, -4.9750235947296755, -5.62954383762266, -8.134104947598695, -4.9269453595239225, -4.518015919632682, -5.893984284224421, -5.768541797942567]	[0.13015091756957908, 0.840884284509485, 0.575002125352044, 0.4954225168285827, 0.8642193533538334, 0.5200067326408326, 0.8213109291137235, 0.7582398343205985, 0.42616155911727754, 0.5818994033155421, 0.4705800746042242, 0.5088821699041424]	[1.6783166150781759, 0.1650472791233012, 0.6433722949833367, 6.172249779039868, 0.14157346270113058, 0.7898590986933745, 0.19830667595698026, 0.5182093456674899, 1.2255529225238324, 0.47955658460262535, 1.6429841369885465, 1.2326362822885515]	[1, 3, 1, 1, 3, 1, 3, 2, 1, 2, 1, 1]	[4, 1, 3, 5, 1, 3, 1, 2, 4, 2, 4, 4]
29	['Inappropriate antidiuretic hormone secretion', 'Syndrome inappropriate ADH', 'Schwartz-Bartter syndrome', 'SIADH', 'Syndrome of inapp ADH secretion', 'Inappropriate ADH secretion', 'ADH inappropriate', 'Inapprop. ADH secretion syndrome', 'Inappropriate vasopressin secretion']	[-4.5659923669803435, -4.884438463096742, -6.5597673340897416, -1.5686684339433874, -6.614513786167381, -5.717601821640523, -5.478429561167914, -6.598004228485848, -5.565120022242395]	[-3.554098476163839, -5.412671944294743, -5.370386254205304, -4.8416869400716065, -6.1656187565345, -4.384385477311143, -7.403697949530103, -8.003409189256374, -5.073825573414458]	[1.2847118327201517, 0.9024079998502793, 1.2214703046644155, 0.3239921236874079, 1.0728061606399404, 1.3040828301317646, 0.7399585448398281, 0.8243992119436909, 1.0968291955880771]	[0.10135248736893969, 0.4728280477472289, 0.08486970736151091, 7.35780410501323, 0.17796791409455348, 0.07349974681003366, 1.9117353985272572, 1.1367212108592246, 0.17057990823854208]	[5, 3, 5, 1, 4, 5, 2, 3, 4]	[1, 2, 1, 5, 1, 1, 4, 4, 1]
30	['Arthropathy', 'Unspecified disorder of joint', 'Arthrosis', 'Joint disorder', 'Joint dysfunction', 'Arthropathy, unspecified, site unspecified', 'Unspecified disorder of joint, site unspecified', 'Unspecified arthropathy']	[-2.992422996267955, -4.841431813530988, -6.322552238494048, -3.7223028655466623, -4.20167808185079, -6.358824810511004, -6.401055324553967, -4.694820462745819]	[-3.8880625042532984, -5.073139846469157, -4.79013477104069, -6.160205347617087, -6.127570298728262, -4.704365895767429, -5.206212872744437, -6.154731088586628]	[0.7696437474949106, 0.9543265039107024, 1.319911138349961, 0.6042498026444098, 0.685700510481752, 1.3516858491453887, 1.229503188020753, 0.7627986333069733]	[1.229821347977837, 0.6331407284263514, 0.10848015107369749, 5.749609200526949, 3.44568120486979, 0.09601704900883185, 0.15203978537363222, 2.1622298586046265]	[2, 4, 5, 2, 2, 5, 5, 2]	[4, 3, 1, 5, 5, 1, 1, 5]
31	['Leukemia granulocytic', 'Leukemia myeloid', 'Myelocytic leukemia', 'Unspecified myeloid leukaemia', 'Leukemic granulocytic', 'Leukemia myelogenous']	[-3.3111489778733394, -2.4545698799054456, -4.009793197556822, -3.1223223889825307, -5.411920725026996, -3.3097555876074125]	[-6.18880154231617, -5.214225520125919, -4.5156129768645865, -5.147661963270375, -3.829247064469455, -6.0644678394935125]	[0.5350226461833086, 0.4707448633418851, 0.8879842488939386, 0.6065515589914299, 1.4133119733230954, 0.5457619160008331]	[3.8050592007030954, 3.3815514925142547, 0.3550483735452583, 1.6225817600004118, 0.043981126725220795, 3.364876419951172]	[1, 1, 3, 2, 5, 1]	[5, 5, 2, 4, 1, 5]
