	synonyms	scores_gpt	scores_biogpt	un_normalized_score	normalized_score	un_normalized_diff_flat	normalized_diff_flat
10	['Bipolar affective disorder', 'Bipolar disorder', 'Manic depression', 'Psychosis manic-depressive', 'Manic depressive illness', 'Manic depressive', 'Reaction manic-depressive', 'Bipolar affective disorder, unspecified']	[-5.598050551419556, -2.1819521127211168, -4.95926529324037, -5.938621695470548, -5.217100891256524, -5.392213047376059, -6.561913993568573, -6.275817814017256]	[-4.957404143279655, -5.316128531719946, -7.29585257143774, -6.777180211322865, -6.585348246439382, -7.558597941315609, -8.620040819022652, -5.6357817818180225]	[1.1292302159807512, 0.41044005984843673, 0.679737596762195, 0.876267342802644, 0.7922285498078779, 0.7133879972503895, 0.7612393179261729, 1.1135665036329294]	[0.07335082806161115, 3.1973468031140393, 1.4401282916799638, 0.3219701108217199, 0.5468352435887334, 1.2147397020032296, 1.090102521587849, 0.07339561330881625]	[5, 1, 2, 4, 3, 2, 2, 5]	[1, 5, 4, 2, 2, 4, 4, 1]
11	['Candidiasis', 'Candidiasis of unspecified site', 'Moniliasis', 'Candida infection', 'Moniliasis monilia', 'Monilial infection']	[-4.422263650076618, -6.680456072965335, -6.242794503998737, -4.221565405909245, -7.696366789829419, -5.993541698029486]	[-6.30881705668116, -7.195179042256639, -7.040023003759653, -5.977924092424403, -8.82890889850338, -7.173534394088586]	[0.7009655867883117, 0.9284627990118964, 0.8867576854031352, 0.706192541196546, 0.871723434719556, 0.8355074874901997]	[1.3850798746812774, 0.351314787098546, 0.4660011870150092, 1.2159955076094358, 0.6516462089076225, 0.6833125563516845]	[2, 4, 4, 2, 4, 3]	[4, 2, 2, 4, 3, 3]
12	['Cutaneous moniliasis', 'Moniliasis skin', 'Candida rash', 'Monilial rash']	[-6.359702977734982, -6.389786982662182, -4.6660641255679245, -7.624673168355533]	[-8.156770973643168, -7.8272122645768025, -8.977840657361908, -8.083168698472061]	[0.7796838967631897, 0.8163553978956339, 0.5197312253188311, 0.9432777482173301]	[0.5079004830073172, 0.35447676996139205, 6.2791761508207955, 0.13318152709346867]	[3, 3, 1, 4]	[2, 2, 5, 1]
13	['Oral candidiasis', 'Oral moniliasis', 'Thrush', 'Stomatitis monilial', 'Oral thrush', 'Candida of mouth', 'Oral candida', 'Candida stomatitis', 'Candidiasis of mouth']	[-6.166712510882703, -6.546983458936066, -4.407783315616107, -6.985067055610716, -5.267679255174545, -4.490515498962285, -4.787533542360465, -5.112992161246382, -5.592147947748202]	[-6.150305991205745, -8.08812429459815, -8.346166321337128, -6.753456739920236, -6.248539878242807, -7.178896187107579, -6.137628978371287, -7.288723549566747, -5.9062384761028515]	[1.0026675940514858, 0.8094563362866007, 0.5281207138596709, 1.0342950765230214, 0.8430256280377462, 0.6255161492691178, 0.7800298061729546, 0.7014934955998305, 0.9468205475235234]	[0.23309576616762823, 1.1065437945495586, 12.164034780799282, 0.1879630849130984, 0.6318907564344327, 3.4850462370052595, 0.9141103876589914, 2.0872178600224913, 0.3243899789548012]	[5, 3, 1, 5, 3, 1, 3, 2, 4]	[2, 4, 5, 1, 3, 5, 3, 4, 2]
14	['Acute nasopharyngitis (common cold)', 'Cold', 'Common cold', 'Head cold', 'Acute rhinitis', 'Infective rhinitis', 'Acute nasopharyngitis', 'Common cold syndrome']	[-6.195637801095956, 2.3914997981933084e-08, -4.447943344093268, -5.134788299353147, -5.3791347388408415, -5.796284168116256, -5.8391548991952265, -5.7994887566604305]	[-6.729881741614935, -6.4170541567365715, -7.331876369325603, -8.397098279657518, -7.459627795397523, -7.28157312994329, -5.419246802269538, -7.5782977725075655]	[0.920616147351383, -3.7267876190241145e-09, 0.6066582577281505, 0.6114955581492341, 0.7210996160102902, 0.7960208686610277, 1.0774845863727471, 0.765275914295652]	[0.016370812538177237, 5.874112513631187, 0.17160393373806332, 0.25052684131547304, 0.07684182912855242, 0.042374427160260256, 0.0063050316454903825, 0.056830042393966634]	[4, 1, 1, 1, 2, 3, 5, 2]	[1, 5, 1, 2, 1, 1, 1, 1]
15	['Insulin-dependent diabetes mellitus', 'Type 1 diabetes mellitus', 'IDDM', 'Diabetes mellitus juvenile onset', 'Insulin dependent diabetic', 'Juvenile diabetes']	[-4.918214579730219, -4.828960117388656, -4.287112379324761, -5.810740208009007, -5.968539529162554, -5.63960158727194]	[-5.299692655703068, -4.763394319746737, -9.382572615250025, -5.593043878599677, -6.7208265320542875, -5.8564715677796135]	[0.92801883038211, 1.0137645118671184, 0.456922909645983, 1.0389226929261701, 0.8880662967116055, 0.962969173845081]	[0.8214481107793121, 0.5253290866211717, 91.58757812170303, 0.45119263012457195, 1.1902012606569294, 0.6967736966346936]	[4, 5, 1, 5, 4, 4]	[3, 2, 5, 2, 4, 3]
16	['Gastrointestinal anomaly', 'Gastrointestinal malformation', 'Anomaly congenital gastrointestinal', 'Congenital gastrointestinal malformations', 'GI malformation']	[-7.384606755081785, -6.2000981400893425, -6.999814511561428, -6.8553261283279685, -5.065669471846429]	[-8.649548660463642, -7.9972481709692715, -6.633892072167848, -6.834825670024729, -8.93620109437492]	[0.8537563108739072, 0.7752789469002919, 1.0551595406456473, 1.002999412024969, 0.5668705771443663]	[0.9837956915957168, 1.6750970292635934, 0.1925881363715042, 0.27204728179468374, 13.319813761783342]	[3, 2, 5, 5, 1]	[3, 4, 1, 2, 5]
17	['Dysgeusia', 'Taste perversion', 'Taste alteration', 'Parageusia', 'Dysgensia', 'Taste changed', 'Taste disturbance', 'Taste abnormality']	[-5.853685543753918, -5.4779570652897895, -6.760896461344839, -5.912750072499294, -5.513670037200145, -5.66276209540425, -6.535071470138977, -5.72425947891346]	[-8.599224362303781, -6.685458986343269, -7.292915905599063, -7.679250841479325, -8.270896691345795, -6.313753225747234, -6.7539700117769055, -7.209591487907868]	[0.6807225043940687, 0.8193838413308486, 0.9270498314884212, 0.7699644398333348, 0.6666350993078346, 0.8968931621070857, 0.967589648568733, 0.7939783396208163]	[4.408751543515834, 0.9470102664547736, 0.48194377475346106, 1.6562458467076797, 4.460582613217073, 0.5428316002852976, 0.3523787370648053, 1.2503015261128827]	[2, 3, 4, 2, 1, 4, 4, 3]	[5, 3, 2, 4, 5, 2, 2, 4]
18	"['Toxic epidermal necrolysis', ""Lyell's syndrome"", 'Toxic epideoneal necrolysis', 'TEN', ""Lyell's disease"", 'Necrolysis epidermal toxic (Lyell type)', 'Lyell']"	[-5.645513624963191, -5.654980233591338, -7.254507565998274, -2.8563413893776977, -6.129353092322372, -7.006240534331056, -3.960930025684452]	[-5.9774853954425256, -6.6731000951962, -11.905166383931741, -9.17740579443365, -6.167611305552977, -8.996793208783217, -5.294346606388021]	[0.944462972551561, 0.8474292537080658, 0.6093579318462609, 0.31123625274477323, 0.9937969156395834, 0.7787486465167541, 0.7481433159108429]	[0.17790203407296898, 0.353322458287122, 13.35865910765692, 70.99222641969467, 0.1326241875713482, 0.9343152727345717, 0.4842870641425852]	[4, 3, 1, 1, 5, 2, 2]	[1, 2, 5, 5, 1, 3, 2]
19	['Exanthem', 'Exanthema', 'Rash', 'Rash and other nonspecific skin eruption', 'Skin eruption', 'Skin rash', 'Rash (nonspecific)', 'Efflorescence']	[-3.565424408890165, -5.085601500313653, -2.998142960785266, -5.805472465616152, -5.601103059299188, -4.5100157437526915, -5.7822687051697645, -5.815490969157699]	[-6.731142304873614, -4.4960049564006415, -5.46314041999782, -6.791654996786388, -7.437025145782196, -6.73093353621437, -7.468831187690779, -9.001363864556229]	[0.5296908381076205, 1.1311378767662712, 0.5487947829073855, 0.8547949606337677, 0.7531375717447687, 0.6700431254427788, 0.7741865574227194, 0.6460677578046563]	[4.426099536278733, 0.10354016131336839, 2.1963530791913435, 0.5005655927114538, 1.1708417339472441, 1.720678391704273, 1.0083983871400655, 4.516212634072239]	[1, 5, 1, 3, 2, 1, 2, 1]	[5, 1, 4, 2, 4, 4, 3, 5]
20	['Fatigue', 'Tiredness', 'Fatigue extreme', 'Weariness', 'Loss of energy', 'Energy decreased', 'Feeling of total lack of energy', 'Tired out']	[-1.0568176834700285, -4.6395972952061575, -4.369699775168029, -5.851437427516982, -4.987031066315982, -6.02060035590593, -4.986492452235494, -3.779225381557552]	[-6.2345022573654045, -6.017749435379127, -8.998695169460289, -9.944314221605882, -6.093387261720217, -7.526384465163562, -6.821138843144277, -5.881220650356102]	[0.1695111557978041, 0.7709854564447907, 0.485592599024566, 0.588420407593682, 0.8184333035330663, 0.7999326082493835, 0.731035178568058, 0.6425920070400222]	[4.842465191113525, 0.10838034716219759, 2.797524022963953, 1.6365921920451587, 0.0825868798695059, 0.12313468329022476, 0.1710816664477973, 0.2235175427338836]	[1, 2, 1, 1, 3, 3, 2, 1]	[5, 1, 5, 4, 1, 1, 1, 1]
21	['Fetal growth retardation', 'Intrauterine growth retardation', 'Foetal growth retardation, unspecified {weight}', 'Microsomia', 'Foetal growth retardation, unspecified', 'Fetal growth restriction', 'Intrauterine growth retard']	[-5.241294650506087, -4.8013692856978505, -7.004697628509906, -4.40350592941437, -6.0696090888460255, -5.999253197601311, -5.2027197222530255]	[-5.652862985553815, -5.389354823188035, -8.084388386880079, -8.33602864965473, -6.301243222759605, -5.666059591018804, -6.391185412674018]	[0.9271929399138963, 0.8908987148219782, 0.8664474408327076, 0.528249855474856, 0.9632399312762703, 1.0588051716064983, 0.8140461254551918]	[0.6368782273745729, 0.759754742470187, 1.2422765401108542, 21.53711180808996, 0.5320004154947474, 0.3024199244451793, 1.385028265690407]	[4, 4, 3, 1, 4, 5, 3]	[3, 3, 4, 5, 2, 2, 4]
22	['Breast dysplasia', 'Diffuse cystic mastopathy', 'Disease fibrocystic breast', 'Fibrocystic breast', 'Breast fibrocystic change', 'Breast cystic fibrosis', 'Breast fibrocystic disorder']	[-5.285582547826268, -5.958426524041499, -5.20497591315606, -5.390997439711961, -5.063802529387173, -3.5539963543354283, -4.743085664934873]	[-7.508726668205351, -7.61743042038759, -7.851805894750444, -6.960680029749265, -6.438588256191754, -6.14625565148121, -7.234191526265723]	[0.7039252833915669, 0.782209510978155, 0.6629017557140581, 0.7744929255002909, 0.7864771480793946, 0.5782376386310805, 0.6556483399304256]	[1.029856357915252, 0.5858327792020791, 1.5731896701217456, 0.5357743495702086, 0.44089917429443565, 1.4896400460623251, 1.346328253923738]	[2, 3, 1, 2, 3, 1, 1]	[4, 3, 4, 2, 2, 4, 4]
23	['Gastro intestinal bleed', 'Gastro-intestinal tract bleed', 'Hemorrhage gastrointestinal', 'GI bleed', 'GI hemorrhage', 'Gastrointestinal bleeding', 'GI tract bleed', 'Hemorrhage of digestive tract', 'Haemorrhage of gastrointestinal tract, unspecified']	[-6.848566866209495, -6.984849631413675, -7.192012891564901, -5.931353005400097, -5.2145414083812565, -6.058877387817292, -7.846747463550808, -6.217356087137807, -6.676394012716739]	[-9.350341116482824, -8.69728958833333, -9.111694213436746, -7.703039179555543, -7.49702740711264, -5.76781923780446, -8.991142607901793, -6.763994233930437, -6.140817325496954]	[0.73244032286018, 0.8031064805273649, 0.789316753075301, 0.7700016665035747, 0.6955478652024234, 1.0504624257475212, 0.8727197204785472, 0.9191841199316061, 1.0872158637574263]	[5.755375125846391, 2.613786481754613, 3.215687879604928, 2.773322740229107, 4.62208531945267, 0.3525022838867366, 1.4810556591565263, 0.8146457841964592, 0.2760380073802352]	[2, 3, 3, 2, 2, 5, 4, 4, 5]	[5, 5, 5, 5, 5, 2, 4, 3, 2]
24	['Glycosuria', 'Glucosuria', 'Sugar urinary', 'Sugar in urine', 'Sugar urinary present', 'Urine sugar positive', 'Glucose urine present']	[-5.2211290763574585, -5.51947782114593, -6.849973198768384, -5.089692740100652, -7.521548031589212, -6.613735243960599, -6.514021893985705]	[-6.823613316260708, -6.634363256545182, -7.3726484958167475, -6.411071462090172, -8.347664262333097, -7.365013965554079, -8.915560323262305]	[0.7651560594612651, 0.831952910582737, 0.9291061689235652, 0.7938911257185212, 0.9010362414224607, 0.8979935781375046, 0.7306351656877299]	[1.4100525979206289, 0.865912168758754, 0.47893904916452545, 1.0645173343729106, 0.6487284894458818, 0.6019514341328103, 3.135163094693838]	[2, 3, 4, 3, 4, 4, 2]	[4, 3, 2, 4, 3, 3, 5]
25	['Bleeding', 'Extravasation blood', 'Hemorrhage', 'Hemorrhage term', 'Hem', 'Haemorrhage, unspecified']	[-0.6405472520466586, -6.299149579263013, -6.131787144152306, -7.154513145960183, -2.8959225071259, -6.210376495915852]	[-6.666699357485934, -9.058933366503812, -7.1389355273557955, -9.268728756423123, -6.1831685326461026, -5.402277480448691]	[0.09608161665898403, 0.6953522367826065, 0.8589217707115883, 0.7718979952889643, 0.468355745413684, 1.149584877561684]	[6.219695287604804, 0.23724844357716737, 0.04111908928512559, 0.12440466759058423, 0.40204744959946254, 0.006694090180211339]	[1, 2, 3, 2, 1, 5]	[5, 2, 1, 1, 2, 1]
26	"[""Hodgkin's disease, unspecified type"", ""Hodgkin's disease"", ""Hodgkin's paragranuloma"", 'Hodgins', ""Hodgkin's lymphoma"", ""Hodgkin's granuloma"", ""Lymphomas Hodgkin's disease"", 'Lymphogranulomatosis']"	[-6.749825155242279, -6.556016751170863, -7.193936818179959, -4.694398378425191, -6.066149458732416, -6.893070985352718, -6.1237777483441445, -6.389018150914469]	[-6.408771252059524, -5.647873049380926, -8.03192321540208, -6.877455513201834, -6.698451169420271, -7.07747210449951, -6.158763630088418, -4.912842236394069]	[1.053216738399448, 1.160793929652771, 0.895668026853744, 0.6825777890404252, 0.9056047891228296, 0.9739453414405466, 0.9943193335796568, 1.3004728919615958]	[0.6523854730108744, 0.3700158360636255, 2.121069886705109, 8.141637790001386, 1.7267412098340726, 1.1033327222281282, 0.9502027552758638, 0.20966553952927522]	[5, 5, 4, 2, 4, 4, 5, 5]	[3, 2, 4, 5, 4, 4, 3, 1]
27	['Hyponatremia', 'Sodium blood decreased', 'Sodium depletion', 'Syndrome low salt', 'Low sodium syndrome', 'Na+ depletion', 'Hyponatraemic syndrome']	[-6.746420333497994, -7.209012901558431, -5.051998065575863, -5.907357545922482, -6.707377930024042, -7.259452848690444, -7.519194982450881]	[-7.247799776586296, -8.3809221075186, -6.760296490011314, -8.726262749613976, -8.181801572498934, -7.358451138938257, -7.7790169441595785]	[0.9308232210404064, 0.860169419196864, 0.7473042155829187, 0.6769630614416011, 0.8197923000930754, 0.9865463141116817, 0.9665996406006327]	[0.4399867302657443, 0.8602941200546879, 1.4709497349004885, 4.466097789382236, 1.1641992229195082, 0.29423048274752905, 0.3455671867207099]	[4, 3, 2, 2, 3, 5, 4]	[2, 3, 4, 5, 4, 2, 2]
28	['Low blood pressure', 'Arterial blood pressure decreased', 'Blood pressure drop arterial', 'Pressure arterial decreased', 'Arterial hypotension', 'Blood pressure decreased', 'Hypotension, unspecified', 'BP fell', 'Drop of blood pressure', 'Fall in blood pressure', 'Hypotension', 'Low BP']	[-3.2714830652550098, -6.547697101409923, -6.772990029107833, -4.7384576996888175, -6.290941209844223, -7.072784064703352, -5.461639090285101, -6.112794825434509, -4.541977179815033, -5.111310002836492, -3.7797740456671516, -3.627029459826275]	[-4.931548512752526, -4.7474489359712155, -7.580464818194622, -8.663927254108923, -5.537169341131978, -5.730443304374342, -6.8850204334346, -8.154450356910461, -6.189075229421822, -5.785461132978724, -7.256936240917872, -6.330482470239659]	[0.6633784615106713, 1.3792032710027282, 0.8934795149832119, 0.5469179923505906, 1.1361294593454043, 1.2342472805383717, 0.7932640350292405, 0.7496268366210903, 0.7338700874442822, 0.8834749530509531, 0.5208498352727815, 0.5729467662026341]	[1.37993470323267, 0.04335741974338624, 0.5882786923084792, 13.29569486510236, 0.12346455913582294, 0.0685377886789837, 1.0891004466444305, 2.0210683657426585, 1.3621560613617476, 0.5148507965125297, 8.492071209656999, 3.9173826695741387]	[1, 5, 4, 1, 5, 5, 3, 2, 2, 4, 1, 1]	[4, 1, 3, 5, 1, 1, 4, 4, 4, 2, 5, 5]
29	['Inappropriate antidiuretic hormone secretion', 'Syndrome inappropriate ADH', 'Schwartz-Bartter syndrome', 'SIADH', 'Syndrome of inapp ADH secretion', 'Inappropriate ADH secretion', 'ADH inappropriate', 'Inapprop. ADH secretion syndrome', 'Inappropriate vasopressin secretion']	[-6.244604631504902, -6.846315481683885, -6.7181716274215395, -3.415825387299346, -7.57433238413569, -7.236211725192173, -6.101984915797465, -7.680131367668555, -6.9840974539255205]	[-5.982477501381381, -9.283459378242735, -7.108493297511616, -5.988332406884478, -8.876298409990424, -7.488307769619896, -10.694749441270732, -9.000166397614258, -7.087296191880647]	[1.0438158154481976, 0.7374745989333799, 0.9450908014182539, 0.5704134565697033, 0.8533210618077747, 0.9663347111011545, 0.5705589410304537, 0.8533321528037955, 0.9854389127868887]	[0.13989602577147753, 2.0800984437732697, 0.26863357434627533, 2.381613845798742, 0.6684707424451695, 0.23395356328898306, 17.95800273224177, 0.6806591274013505, 0.20158786515636876]	[5, 2, 4, 1, 3, 4, 1, 3, 5]	[1, 4, 2, 5, 3, 2, 5, 3, 1]
30	['Arthropathy', 'Unspecified disorder of joint', 'Arthrosis', 'Joint disorder', 'Joint dysfunction', 'Arthropathy, unspecified, site unspecified', 'Unspecified disorder of joint, site unspecified', 'Unspecified arthropathy']	[-3.3357679755534675, -7.005479752481146, -5.325274560806679, -4.663166514729565, -5.012552075304049, -7.150473307744881, -8.168273610893424, -5.564877639871811]	[-5.716055056598868, -7.474248608340187, -6.063086660257994, -8.239287799376953, -8.533151404080746, -7.242575809188601, -8.234165181815284, -8.205586812807795]	[0.5835786993868278, 0.9372821429386277, 0.8783108108469754, 0.5659671840911042, 0.5874209700424315, 0.9872831843434942, 0.9919977836894288, 0.6781815568858282]	[1.3698280554121647, 0.20253693779184284, 0.26506246689851837, 4.529082718379055, 4.2844726374246624, 0.13896970008178977, 0.13537449755694392, 1.7773212532079519]	[1, 4, 4, 1, 1, 5, 5, 2]	[4, 1, 2, 5, 5, 1, 1, 4]
31	['Leukemia granulocytic', 'Leukemia myeloid', 'Myelocytic leukemia', 'Unspecified myeloid leukaemia', 'Leukemic granulocytic', 'Leukemia myelogenous']	[-6.445305427247334, -6.246601697557855, -6.96118578890474, -6.690844882639225, -7.387811257467787, -6.6344335670410475]	[-10.919434489104288, -9.01681420169014, -5.95043845052815, -6.601462540997588, -6.818843267300167, -9.85904214201623]	[0.5902600023543927, 0.6927725866178958, 1.1698609853340938, 1.0135397786606437, 1.083440543779047, 0.6729288171684666]	[60.18708290540312, 10.95220933746521, 0.24971908806637, 0.627473623021701, 0.38843117041055575, 17.252158614691595]	[1, 2, 5, 5, 5, 1]	[5, 5, 2, 3, 2, 5]
